,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
0,768805383,0,45,1,3,1,0,3,0,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061
1,818770008,0,49,0,5,0,1,0,0,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105
2,713982108,0,51,1,3,0,0,2,0,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0
4,709106358,0,40,1,3,2,0,3,0,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0
5,713061558,0,44,1,2,0,0,1,0,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311
8,710930508,0,37,1,3,2,1,3,0,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113
9,719661558,0,48,1,2,0,1,2,0,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144
12,710599683,0,56,1,1,3,1,2,0,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0
14,712396908,0,57,0,2,0,0,0,0,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279
16,709967358,0,48,1,4,4,1,2,0,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078
18,806160108,0,61,1,1,1,0,1,0,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788
20,806165208,0,47,1,1,5,2,3,0,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086
21,708508758,0,62,0,0,0,0,0,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0
22,784725333,0,41,1,3,1,0,1,0,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152
25,771071958,0,41,0,3,0,1,0,0,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215
29,806624208,0,47,1,4,1,0,1,0,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285
31,712991808,0,53,1,2,2,0,3,0,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69
32,709029408,0,41,1,4,0,0,3,0,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282
33,788658483,0,53,0,2,3,0,0,0,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562
34,787937058,0,58,1,0,0,0,2,0,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135
35,715318008,0,55,0,1,3,1,0,0,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544
36,713962233,0,55,0,3,0,0,0,0,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757
37,785432733,0,42,0,4,1,0,0,2,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0
40,827111283,0,45,1,3,0,1,2,0,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018
42,773146383,0,50,0,1,3,1,1,1,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145
43,778493808,0,49,1,3,1,0,3,0,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0
45,712661433,0,49,1,4,2,1,2,0,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0
